streams,bpm,energy_%,speechiness_%
121189256,90,83,11
131746175,183,67,13
244790012,128,91,11
129314708,130,40,45
331511413,126,43,23
219196651,120,87,12
170732845,130,46,8
273914335,122,76,45
179061440,172,58,8
185236961,103,62,40
171788484,122,64,10
387080183,130,90,4
264717480,105,65,4
244928911,120,51,6
97610446,145,53,4
287278853,99,59,14
887906111,88,65,14
123473120,126,73,4
295152154,136,75,4
323455692,113,59,12
240918092,132,88,3
191873381,135,74,8
284216603,126,77,11
239411309,102,74,4
265548837,125,92,12
703301727,149,66,5
244585109,137,89,5
189476119,120,91,12
277132266,100,50,26
278920007,164,57,7
222410722,93,66,7
185392587,180,80,25
202452860,79,31,7
1608164312,146,44,2
624101957,103,27,3
148461629,140,76,23
47093942,92,70,7
380319238,102,60,4
209106362,118,85,4
53987404,93,62,6
115331792,150,56,5
225093344,130,60,3
84697729,83,53,4
159240673,102,75,8
170709584,136,91,18
154356956,145,58,5
723043854,130,37,3
247689123,156,77,11
176474912,123,85,4
235549288,132,62,10
140430339,125,74,4
85559365,162,67,46
146223492,138,81,36
187701588,161,60,44
154863153,131,55,32
191333656,122,63,12
253650850,80,28,39
223064273,109,50,17
170413877,158,36,59
218320587,126,35,14
141720999,104,61,7
187339835,110,31,4
198365537,130,70,5
186104310,177,16,5
177503916,158,84,12
71095708,114,44,3
112436403,144,61,20
203436468,125,76,3
93367537,142,43,32
106249219,120,53,27
181382590,96,74,4
91473363,144,39,3
121871870,166,24,6
73513683,92,67,6
133895612,97,77,5
96007391,90,67,5
